"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Title","Title","False","Text","Display name for this program cycle, used for search results and for drop-downs in related lists. Do not update manually.",,"196","False","False",,,"=""(New Program Cycle - Added ""&TEXT(YEAR(NOW()),""0000"")&""-""&TEXT(MONTH(NOW()),""00"")&""-""&TEXT(DAY(NOW()),""00"")&"" ""&TEXT(MOD(HOUR(NOW())+3,24),""00"")&"":""&TEXT(MINUTE(NOW()),""00"")&"":""&TEXT(SECOND(NOW()),""00"")&"")""",
"46092563-caa9-4688-8311-562f02cf6342","Program","Program","True","Lookup","",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""fillHorizontally"":true,""elmType"":""div"",""defaultHoverField"":"""",""attributes"":{""class"":""height-limit hero ms-fontColor-themeDark--hover""},""style"":{""display"":""flex"",""min-width"":""180px"",""padding"":""0 2px"",""margin-left"":""2px"",""margin-right"":""4px"",""text-overflow"":""ellipsis"",""justify-content"":""space-between"",""clear"":""both"",""max-height"":""44px""},""children"":[{""elmType"":""div"",""style"":{""padding-left"":""2px""},""attributes"":{""class"":""='ms-Link ms-fontSize-14 ms-fontWeight-semibold""},""children"":[{""elmType"":""span"",""style"":{""cursor"":""pointer"",""whitespace"":""collapse"",""user-select"":""text"",""padding-left"":""4px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""min-width"":""140px"",""text-align"":""left"",""text-decoration"":""inherit"",""color"":""=if(indexOf([$Active]+'~','~')<1 || [$Active], 'inherit', 'gray')""},""txtContent"":""@currentField.lookupValue"",""attributes"":{""title"":""=if(indexOf([$Title]+'^','^')==0, 'Click to open', 'Click to edit')""},""customRowAction"":{""action"":""defaultClick""}}]},{""elmType"":""div"",""customRowAction"":{""action"":""defaultClick""},""style"":{""cursor"":""pointer"",""padding-left"":""6px"",""min-width"":""12px"",""text-align"":""right"",""margin-left"":""auto"",""visibility"":""=if(indexOf([$Title]+'^','^')==0, 'visible', 'hidden')"",""display"":""=if(indexOf([$Title]+'^','^')==0, 'inherit', 'none')""},""children"":[{""elmType"":""a"",""attributes"":{""href"":""""},""style"":{""padding-right"":""4px""},""children"":[{""elmType"":""div"",""attributes"":{""iconName"":""OpenEnrollment"",""class"":""ms-fontSize-16 ms-fontWeight-regular ms-fontColor-themePrimary"",""title"":""Open""}}]}]},{""elmType"":""div"",""style"":{""padding-left"":""6px"",""visibility"":""=if(indexOf([$Title]+'^','^')==0, 'visible', 'hidden')"",""display"":""=if(indexOf([$Title]+'^','^')==0, 'inherit', 'none')""},""children"":[{""elmType"":""a"",""attributes"":{""href"":""=@currentWeb + '/Lists/ProgramParticipantTracking/StartHere.aspx?useFiltersInViewXml=1&FilterField1=Program_x0020_Cycle_x003a_ID&FilterValue1=' + [$ID] + '&FilterType1=Lookup&source=' + @currentWeb + '/Lists/ProgramSummary/'"",""target"":""_top""},""style"":{""padding-right"":""4px""},""children"":[{""elmType"":""div"",""attributes"":{""iconName"":""ContactList"",""class"":""ms-fontSize-16 ms-fontWeight-regular ms-fontColor-themePrimary"",""title"":""View Participants""}}]}]},{""elmType"":""div"",""attributes"":{""class"":""heroCommands show""},""style"":{""cursor"":""pointer"",""padding-left"":""4px"",""padding-right"":""2px"",""margin-right"":""2px"",""min-width"":""8px"",""text-align"":""right"",""visibility"":""=if(indexOf([$Title]+'^','^')==0, 'visible', 'hidden')"",""display"":""=if(indexOf([$Title]+'^','^')==0, 'inherit', 'none')""},""children"":[{""elmType"":""span"",""attributes"":{""class"":""heroCommands show sp-field-quickAction moreActionsHeroField heroButton ms-font-l ms-fontWeight-semiBold ms-fontColor-themeLight ms-borderColor-themePrimary ms-borderColor-themePrimary--hover ms-backgroundColor-themeDark--hover"",""iconName"":""moreVertical""},""customCardProps"":{""directionalHint"":""rightCenter"",""openOnEvent"":""hover"",""isBeakVisible"":true,""beakStyle"":{""backgroundColor"":""lightGray""},""formatter"":{""elmType"":""div"",""children"":[{""elmType"":""div"",""attributes"":{""class"":""ms-borderColor-themeLight ms-fontColor-themePrimary ms-fontColor-themeDark--hover ms-slideRightIn20""},""style"":{""border"":""1px solid""},""children"":[{""elmType"":""div"",""children"":[{""elmType"":""div"",""children"":[{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeSecondary ms-fontColor-themeLighterAlt"",""title"":""='Program Cycle ID: '+[$ID]""},""style"":{""font-weight"":""500"",""text-align"":""left"",""margin-top"":""0px"",""margin-bottom"":""10px"",""border-bottom"":""1px solid"",""padding-right"":""12px"",""padding-left"":""12px"",""padding-top"":""6px"",""padding-bottom"":""6px""},""children"":[{""elmType"":""span"",""txtContent"":""=[$Cycle]""},{""elmType"":""span"",""txtContent"":""='\n(' + toLocaleDateString([$StartDate]) + '  -  ' + toLocaleDateString([$EndDate]) + ')'"",""font-size"":""smaller""}]}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer""},""customRowAction"":{""action"":""defaultClick""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""OpenEnrollment""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""Open"",""style"":{""margin-left"":""9px""}}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer""},""customRowAction"":{""action"":""editProps""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""Edit""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""Edit"",""style"":{""margin-left"":""9px""}}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer""},""customRowAction"":{""action"":""executeFlow"",""actionParams"":""{\""id\"":\""4b1c66d8-5692-f011-b4cc-6045bd03b23d\"", \""headerText\"":\""Create Participant Records\"", \""runFlowButtonText\"":\""Add\""}""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""AddTo""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""Add New Participants"",""style"":{""margin-left"":""9px""}}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer""},""children"":[{""elmType"":""a"",""attributes"":{""href"":""=@currentWeb + '/Lists/ProgramParticipantTracking/StartHere.aspx?useFiltersInViewXml=1&FilterField1=Program_x0020_Cycle_x003a_ID&FilterValue1=' + [$ID] + '&FilterType1=Lookup&source=' + @currentWeb + '/Lists/ProgramSummary/'"",""target"":""_top"",""title"":""View Participants""},""style"":{""text-decoration"":""none"",""cursor"":""pointer"",""color"":""inherit""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""ContactList""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""View Participants"",""style"":{""margin-left"":""9px""}}]}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer""},""children"":[{""elmType"":""a"",""attributes"":{""href"":""=@currentWeb + '/Lists/EmailTracker/Summary.aspx?q=' + @currentField.lookupValue + '&action=view&Source=' + @currentWeb + '/Lists/ProgramSummary'"",""target"":""_top"",""title"":""Find in Email Tracker""},""style"":{""text-decoration"":""none"",""cursor"":""pointer"",""color"":""inherit""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""MailSchedule""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""Email Tracker"",""style"":{""margin-left"":""9px""}}]}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer""},""children"":[{""elmType"":""a"",""attributes"":{""href"":""=@currentWeb + '/Lists/Event%20Attendance/AllEvents.aspx?useFiltersInViewXml=1&FilterField1=Program&FilterValue1=' + @currentField.lookupValue + '&FilterType1=Lookup&source=' + @currentWeb + '/Lists/ProgramSummary/'"",""target"":""_top"",""title"":""Find Related Events""},""style"":{""text-decoration"":""none"",""cursor"":""pointer"",""color"":""inherit""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""Calendar""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""Events"",""style"":{""margin-left"":""9px""}}]}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer""},""children"":[{""elmType"":""a"",""attributes"":{""data-interception"":""off"",""title"":""Setup an alert to get notified of chages to this record."",""href"":""=@currentWeb + '/_layouts/15/SubNew.aspx?List=' + '%7Bb06a7441-867b-4ddc-9f05-271c46d7e116%7D' + '&ID=' + [$ID] + '&IsDlg=1&Source=' + @currentWeb + '/Lists/People'"",""target"":""_blank"",""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""text-decoration"":""none"",""cursor"":""pointer""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""AlarmClock""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""Alert Me"",""style"":{""margin-left"":""9px""}}]}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer"",""text-decoration"":""none""},""children"":[{""elmType"":""button"",""attributes"":{""data-interception"":""off"",""title"":""Version History"",""name"":""='Versions-'+[$ID]"",""id"":""='Versions-'+[$ID]"",""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""customRowAction"":{""action"":""embed"",""actionInput"":{""src"":""=@currentWeb + '/_layouts/15/versions.aspx?List=' + '%7Bb06a7441-867b-4ddc-9f05-271c46d7e116%7D' + '&ID=' + [$ID] + '&IsDlg=1&Source=' + @currentWeb + '/Lists/People'"",""height"":""540"",""width"":""920""}},""style"":{""cursor"":""pointer"",""text-decoration"":""none"",""border"":""0"",""background-color"":""inherit"",""padding"":""0"",""margin"":""0""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""History""},""style"":{""margin-left"":""5px"",""font-weight"":""600"",""font-size"":""smaller""}},{""elmType"":""span"",""txtContent"":""Version History"",""style"":{""margin-left"":""9px"",""font-weight"":""lighther"",""font-size"":""smaller""}}]}]},{""elmType"":""div"",""attributes"":{""class"":""ms-bgColor-themeLight--hover ms-fontColor-themePrimary ms-fontColor-themeDark--hover""},""style"":{""margin"":""5px"",""padding"":""5px"",""cursor"":""pointer"",""font-size"":""smaller""},""customRowAction"":{""action"":""setValue"",""actionInput"":{""Active"":""No""}},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""Delete""},""style"":{""margin-left"":""5px"",""font-weight"":""600""}},{""elmType"":""span"",""txtContent"":""Inactivate (Archive)"",""style"":{""margin-left"":""9px""}}]}]}]}]}}}]}]}"
"cb97cd1e-75f5-4942-95cb-23593d0f4c72","Cycle","Cycle","True","Choice","Specific program cycle. Select a calendar year, semester, school year, or fiscal year (FY) as appropriate.",,,"False","False",,,"=TEXT(YEAR(Today),""0000"")","{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""span"",""style"":{""text-decoration"":""none"",""min-width"":""240px""},""customRowAction"":{""action"":""defaultClick""},""children"":[{""elmType"":""span"",""txtContent"":""=@currentField"",""attributes"":{""title"":""=if([$StartDate]=='' || [$EndDate]=='', 'Click to open', toLocaleDateString([$StartDate]) + '  -  ' + toLocaleDateString([$EndDate]) )""},""style"":{""text-align"":""left"",""cursor"":""pointer"",""text-decoration"":""none"",""min-width"":""140px"",""font-weight"":""400"",""width"":""100%""}}]}"
"7a0fd69b-8d65-4f8d-9666-bc18cba9f66d","Status","Status","True","Choice","The current status of this program cycle.",,,"False","False",,"Not Started",,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""inlineEditField"":""@currentField"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Not Started""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-color-CornflowerBlueFont sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Preparing Cycle""]},""sp-css-backgroundColor-BgCyan sp-css-borderColor-CyanFont sp-css-color-CyanFont sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Accepting Applications""]},""sp-css-backgroundColor-BgMintGreen sp-css-borderColor-MintGreenFont sp-css-color-MintGreenFont sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Reviewing Applications""]},""sp-css-backgroundColor-BgMauve sp-css-borderColor-MauveFont sp-field-fontSizeSmall sp-css-color-MauveFont sp-css-color-MauveFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""In Progress""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Cycle Ended""]},""sp-css-backgroundColor-BgDustRose sp-css-color-DustRoseFont sp-css-color-DustRoseFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Closed""]},""sp-css-backgroundColor-BgGray sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Rolling""]},""sp-css-backgroundColor-BgLightBlue sp-css-borderColor-LightBlueFont sp-css-color-LightBlueFont sp-css-color-LightBlueFont"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$Status]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Not Started""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Preparing Cycle""]},""sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Accepting Applications""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Reviewing Applications""]},""sp-field-fontSizeSmall sp-css-color-MauveFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""In Progress""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Cycle Ended""]},""sp-css-color-DustRoseFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Closed""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Rolling""]},""sp-css-color-LightBlueFont"",""""]}]}]}]}]}]}]}]}]}}}]}]}"
"9bc511bb-6f6b-41d0-9e0f-7183135637f4","# Applicants","ApplicantsCount","False","Number","Auto-calculated. The total number of complete applications received (based on Application Date). It does not include those expressing interest in the program but who did not submit a full application.",,,"False","False",,"0",,
"7108acbc-f5f5-4b38-81db-2562c7249717","# Recipients","ParticipantsCount","False","Number","Auto-calculated. The total number of participants or award recipients after the vetting process has completed.",,,"False","False",,"0",,
"170a33d6-fe99-433a-bbd6-02dc82f63ef3","# Applicants (Full Applications)","ApplicantsCalculated","False","Calculated","Auto-calculated. The total number of complete applications received (based on Application Date). It does not include those expressing interest in the program but who did not submit a full application.",,,"False","False",,,,
"59ce3860-d796-4574-a2e2-d2fc621bbf30","# Recipients / Awardees / Participants","ParticipantsCalculated","False","Calculated","Auto-calculated. The total number of participants or award recipients after the vetting process has completed.",,,"False","False",,,,
"5a3aa260-7206-493b-bb5e-3be36904b736","Total Award Amount","TotalAwardAmount","False","Currency","The total amount awarded during this program cycle. The value is calculated in Power Automate by adding the amounts awarded to each participant, and is refreshed on every status change.",,,"False","False",,"0",,
"97fa2753-e204-4edd-aeba-1abe1311d1be","Total Award Amount (USD)","TotalAwardCalculated","False","Calculated","Auto-calculated. The total amount awarded during this program cycle, calculated by adding the amounts awarded to each participant.",,,"False","False",,,,
"533a83d1-8d4a-4511-a340-cd5989d6484a","Average Award Amount","AverageAwardAmount","False","Calculated","The average amount awarded per participant during this program cycle.",,,"False","False",,,,
"f3057ad1-d1df-4d13-a225-91299406db67","Acceptance Rate","AcceptanceRate","False","Calculated","The acceptance rate for this program cycle.",,,"False","False",,,,
"a5704c05-e787-453b-933c-1b950b71ef58","Cycle Start Date","StartDate","False","Calculated","The date when the program cycle starts.",,,"False","False",,,,
"5767c81e-a0da-4562-a974-85f4d5b5aadc","Cycle End Date","EndDate","False","Calculated","The date when the program cycle ends.",,,"False","False",,,,
